form_5,rank,deficits_surplus
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0.2,0.210526315789474,0.409395973154362
0,0.315789473684211,0.402684563758389
0.2,0.105263157894737,0.409395973154362
0,0.263157894736842,0.389261744966443
0.2,0.157894736842105,0.409395973154362
0.4,0.105263157894737,0.416107382550336
0,0.473684210526316,0.389261744966443
0.4,0,0.429530201342282
0,0.421052631578947,0.389261744966443
0,0.157894736842105,0.395973154362416
0.2,0.315789473684211,0.38255033557047
0.4,0.157894736842105,0.409395973154362
0,0.421052631578947,0.38255033557047
0.266666666666667,0.263157894736842,0.395973154362416
0.4,0.210526315789474,0.409395973154362
0.0666666666666667,0.210526315789474,0.38255033557047
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0.733333333333333,0.315789473684211,0.436241610738255
0.6,0.0526315789473684,0.416107382550336
0.4,0.210526315789474,0.395973154362416
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0.266666666666667,0.105263157894737,0.409395973154362
0.0666666666666667,0.421052631578947,0.38255033557047
0,0,0.402684563758389
0,0,0.402684563758389
0,0.684210526315789,0.389261744966443
0.0666666666666667,0.421052631578947,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0.789473684210526,0.395973154362416
0.0666666666666667,0.578947368421053,0.402684563758389
0,0.736842105263158,0.395973154362416
0,0.947368421052632,0.395973154362416
0,0.894736842105263,0.395973154362416
0,0.842105263157895,0.395973154362416
0,0.631578947368421,0.38255033557047
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0,0,0.402684563758389
0.0666666666666667,0.473684210526316,0.402684563758389
0.0666666666666667,0.157894736842105,0.402684563758389
0.2,0.0526315789473684,0.409395973154362
0,0.789473684210526,0.395973154362416
0.2,0.157894736842105,0.409395973154362
0,0.421052631578947,0.395973154362416
0,0.526315789473684,0.395973154362416
0.2,0.0526315789473684,0.416107382550336
0,0.473684210526316,0.395973154362416
0.333333333333333,0.157894736842105,0.369127516778524
